,Artefact,Subject,AUC,PSD,AutoCorr,SampEn
33,0,1,0.18400024115997948,0.9998700547218072,0.9973909403635824,0.32011317096922054
34,0,1,0.18141380037982702,0.9998791108825912,0.997580082276268,0.30332220168627105
35,0,1,0.17889428149398612,0.9998794861723247,0.9974158430944929,0.31810011235349345
71,0,1,0.17928375486088088,0.9998755608460328,0.9974075668479154,0.321752869093836
72,0,1,0.18287643565550293,0.9998741473593247,0.9973419244835909,0.3410956146827976
73,0,1,0.18340095861091854,0.9998712942075325,0.9974128767533795,0.32227554304867195
74,0,1,0.17886835679618973,0.999874482332741,0.9974058730286224,0.3308494992515612
75,0,1,0.17852560817532326,0.9998797460606793,0.9973607825091061,0.3346983032495674
76,0,1,0.18256202333222804,0.9998719363807927,0.9973411196374512,0.3046813268289585
77,0,1,0.17998824345099929,0.9998757321108755,0.9975967623751559,0.3172099261363401
78,0,1,0.17865553311427973,0.9998753655029008,0.9974227041847699,0.34154395088531997
79,0,1,0.18099840231513575,0.9998747007697785,0.997338385083688,0.3171129621853062
80,0,1,0.18403520935700723,0.9998740504694493,0.9972623314074485,0.31133775770362776
81,0,1,0.17843246013324088,0.9998707054864016,0.9972870007017505,0.31699431548413115
82,0,1,0.1784876254785518,0.9998748288795449,0.9973547148009345,0.3125552784009752
83,0,1,0.18142555692882767,0.9998733540046628,0.9973856726141926,0.31385332988059234
84,0,1,0.17833177584179905,0.9998737757393056,0.9973335544654442,0.3240651295741593
85,0,1,0.17832092364272145,0.9998744317769837,0.9972695210952637,0.3525089554936226
86,0,1,0.18134446688572037,0.9998707246158053,0.9972955332907015,0.3378269614304541
87,0,1,0.1801890091339342,0.9998788280039649,0.9973916984626704,0.3545661544702828
88,0,1,0.17640581195550598,0.9998715367258231,0.9972354061710773,0.31893295368730434
89,0,1,0.17794863292436625,0.9998707086160566,0.9972279417200304,0.3313091750556461
90,0,1,0.1812516202936123,0.9998709162971858,0.9973929381104951,0.3168016573907209
91,0,1,0.17586410635155092,0.9998768440830389,0.9974114587577894,0.3081950960809054
92,0,1,0.17564314352033283,0.9998708813522317,0.9973370264652569,0.3255833114672654
93,0,1,0.1794691465951226,0.999878340836125,0.9973612665506931,0.32377821549872143
